,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(1),Corr with auto_vol(1),student_vol(-4),Corr with student_vol(-4),credit_tightness(-3),Corr with credit_tightness(-3),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90(-4),Corr with mortgage 90(-4),long,lat
0,2010-02,OR,EUGENE,2010-02,4.65,"(-123.0951, 44.0505)",29369.96,Improvements_Additions for Apartments_Coops,0.172487,0.41970799038263096,0.20809400000000006,0.4245731296605322,0.22906349999999992,0.4275015452630065,0.23978050000000012,0.42367539468058707,0.25051950000000006,0.4150496660959021,0.38779850000000005,0.378872339029394,0.8515799999999999,0.3671779415319455,0.05736842105263157,0.4265846159158066,0.18105263157894735,0.42524835108603565,0.34578947368421054,0.4273913016899266,2.363684210526315,0.6785895488759416,3.691052631578947,0.7726021223446495,4.481052631578947,0.64543686991507,4.619473684210526,0.570633593947055,27482962505.147003,0.1157731569756251,14402813469.2945,-0.5044113440576988,96.8995739482615,0.3348281891698947,2.4,0.1788738752676494,2.4,-0.3197095023503956,-123.0951,44.0505
1,2011-10,OR,EUGENE,2011-10,4.1,"(-123.0881, 44.0443)",20875.15,Improvements_Additions for Apartments_Coops,0.1416352380952381,0.41970799038263096,0.19074095238095234,0.4245731296605322,0.24373904761904758,0.4275015452630065,0.3185252380952381,0.42367539468058707,0.4064785714285714,0.4150496660959021,0.59521,0.378872339029394,0.9086428571428572,0.3671779415319455,0.013500000000000003,0.4265846159158066,0.05450000000000003,0.42524835108603565,0.1145,0.4273913016899266,1.0614999999999999,0.6785895488759416,2.1519999999999997,0.7726021223446495,2.8695,0.64543686991507,3.128,0.570633593947055,34825519831.2788,0.1157731569756251,12472473242.0863,-0.5044113440576988,90.5649414475864,0.3348281891698947,2.3,0.1788738752676494,2.8,-0.3197095023503956,-123.0881,44.0443
2,2011-11,OR,EUGENE,2011-11,3.92,"(-123.080642, 44.039609999999996)",25263.64,Improvements_Additions for Apartments_Coops,0.14255090909090912,0.41970799038263096,0.19244863636363635,0.4245731296605322,0.2536463636363637,0.4275015452630065,0.3593790909090909,0.42367539468058707,0.47529181818181826,0.4150496660959021,0.6805422727272729,0.378872339029394,1.000305,0.3671779415319455,0.013999999999999999,0.4265846159158066,0.04650000000000002,0.42524835108603565,0.11200000000000002,0.4273913016899266,0.908,0.6785895488759416,2.0134999999999996,0.7726021223446495,2.7180000000000004,0.64543686991507,3.0155000000000003,0.570633593947055,35344521679.5642,0.1157731569756251,13238482167.5647,-0.5044113440576988,88.33905735772379,0.3348281891698947,2.2,0.1788738752676494,2.9,-0.3197095023503956,-123.080642,44.039609999999996
3,2012-03,OR,EUGENE,2012-03,3.765,"(-123.081425, 44.045311)",18580.41,Improvements_Additions for Apartments_Coops,0.14720000000000003,0.41970799038263096,0.1893409090909091,0.4245731296605322,0.24185227272727275,0.4275015452630065,0.35079999999999995,0.42367539468058707,0.4732886363636363,0.4150496660959021,0.741275,0.378872339029394,1.0534477272727274,0.3671779415319455,0.06363636363636366,0.4265846159158066,0.14227272727272727,0.42524835108603565,0.19000000000000003,0.4273913016899266,1.0172727272727273,0.6785895488759416,2.1727272727272724,0.7726021223446495,2.9404545454545454,0.64543686991507,3.281363636363636,0.570633593947055,36623269866.4569,0.1157731569756251,11784187253.6333,-0.5044113440576988,90.48744874686929,0.3348281891698947,2.0,0.1788738752676494,3.1,-0.3197095023503956,-123.081425,44.045311
4,2012-11,OR,EUGENE,2012-11,2.67,"(-123.09796499999999, 44.026914)",17705.56,Improvements_Additions for Apartments_Coops,0.1555,0.41970799038263096,0.18060909090909089,0.4245731296605322,0.20888636363636362,0.4275015452630065,0.25813636363636355,0.42367539468058707,0.31102272727272723,0.4150496660959021,0.528347727272727,0.378872339029394,0.8631931818181818,0.3671779415319455,0.12449999999999999,0.4265846159158066,0.14450000000000002,0.42524835108603565,0.17850000000000002,0.4273913016899266,0.665,0.6785895488759416,1.654,0.7726021223446495,2.3894999999999995,0.64543686991507,2.8034999999999997,0.570633593947055,38808856509.5085,0.1157731569756251,16111780903.4699,-0.5044113440576988,89.6061116730853,0.3348281891698947,1.6,0.1788738752676494,3.1,-0.3197095023503956,-123.09796499999999,44.026914
5,2013-01,OR,EUGENE,2013-01,3.15,"(-123.07566399999999, 44.026643)",23797.296666666665,Improvements_Additions for Apartments_Coops,0.16043181818181818,0.41970799038263096,0.17947272727272726,0.4245731296605322,0.20497272727272725,0.4275015452630065,0.2497954545454545,0.42367539468058707,0.30261363636363625,0.4150496660959021,0.48810454545454546,0.378872339029394,0.8142727272727271,0.3671779415319455,0.05190476190476192,0.4265846159158066,0.10761904761904766,0.42524835108603565,0.14523809523809525,0.4273913016899266,0.8052380952380951,0.6785895488759416,1.9147619047619049,0.7726021223446495,2.681428571428571,0.64543686991507,3.0804761904761913,0.570633593947055,39658399389.4891,0.1157731569756251,11631947675.6117,-0.5044113440576988,90.37816904639429,0.3348281891698947,1.3,0.1788738752676494,2.9,-0.3197095023503956,-123.07566399999999,44.026643
6,2014-02,OR,EUGENE,2014-02,5.15,"(-123.103746, 44.045828)",3620.63,Improvements_Additions for Apartments_Coops,0.08627,0.41970799038263096,0.11939250000000004,0.4245731296605322,0.155105,0.4275015452630065,0.19663749999999997,0.42367539468058707,0.23520249999999998,0.4150496660959021,0.3308,0.378872339029394,0.554605,0.3671779415319455,0.046842105263157914,0.4265846159158066,0.08105263157894738,0.42524835108603565,0.11684210526315793,0.4273913016899266,1.5157894736842106,0.6785895488759416,2.7094736842105265,0.7726021223446495,3.3847368421052626,0.64543686991507,3.6626315789473685,0.570633593947055,44555116847.5878,0.1157731569756251,9473893018.88319,-0.5044113440576988,88.4263020205016,0.3348281891698947,1.3,0.1788738752676494,2.0,-0.3197095023503956,-123.103746,44.045828
7,2015-04,OR,EUGENE,2015-04,3.23,"(-123.094131, 44.047384)",22721.56,Improvements_Additions for Apartments_Coops,0.12200000000000003,0.41970799038263096,0.14605250000000003,0.4245731296605322,0.18076750000000003,0.4275015452630065,0.22830999999999996,0.42367539468058707,0.27596,0.4150496660959021,0.404505,0.378872339029394,0.6969449999999999,0.3671779415319455,0.018181818181818188,0.4265846159158066,0.09363636363636368,0.42524835108603565,0.23363636363636367,0.4273913016899266,1.3545454545454545,0.6785895488759416,1.9349999999999996,0.7726021223446495,2.334090909090909,0.64543686991507,2.5859090909090905,0.570633593947055,47692027772.9219,0.1157731569756251,14245911418.8887,-0.5044113440576988,80.33849809561521,0.3348281891698947,1.1,0.1788738752676494,1.8,-0.3197095023503956,-123.094131,44.047384
8,2016-06,OR,EUGENE,2016-06,3.73,"(-122.7043, 45.535)",83774.4,Improvements_Additions for Apartments_Coops,0.3904409090909091,0.41970799038263096,0.41572500000000007,0.4245731296605322,0.4527090909090909,0.4275015452630065,0.5394386363636363,0.42367539468058707,0.6516204545454546,0.4150496660959021,0.9360386363636366,0.378872339029394,1.2592227272727274,0.3671779415319455,0.22136363636363632,0.4265846159158066,0.40409090909090906,0.42524835108603565,0.5522727272727272,0.4273913016899266,1.1663636363636367,0.6785895488759416,1.6440909090909095,0.7726021223446495,2.019090909090909,0.64543686991507,2.452272727272727,0.570633593947055,49692544708.3448,0.1157731569756251,11240513229.2606,-0.5044113440576988,83.5754036116387,0.3348281891698947,1.1,0.1788738752676494,1.4,-0.3197095023503956,-122.7043,45.535
9,2017-03,OR,EUGENE,2017-03,3.77,"(-123.082916, 44.044102)",23857.14,Improvements_Additions for Apartments_Coops,0.8095565217391305,0.41970799038263096,0.8706386956521739,0.4245731296605322,0.9286352173913045,0.4275015452630065,0.982656956521739,0.42367539468058707,1.134713043478261,0.4150496660959021,1.4258673913043478,0.378872339029394,1.8069104347826086,0.3671779415319455,0.662608695652174,0.4265846159158066,0.8856521739130436,0.42524835108603565,1.0104347826086957,0.4273913016899266,2.013478260869565,0.6785895488759416,2.4817391304347827,0.7726021223446495,2.8317391304347823,0.64543686991507,3.0813043478260873,0.570633593947055,47316214443.3566,0.1157731569756251,12137144620.0221,-0.5044113440576988,88.1697673489486,0.3348281891698947,1.0,0.1788738752676494,0.8,-0.3197095023503956,-123.082916,44.044102
10,2018-07,OR,EUGENE,2018-07,4.46,"(-123.0951, 44.0505)",118668.64,Improvements_Additions for Apartments_Coops,1.918467142857143,0.41970799038263096,1.9587813636363633,0.4245731296605322,2.0789990909090905,0.4275015452630065,2.1733236363636363,0.42367539468058707,2.3391181818181823,0.4150496660959021,2.519525454545455,0.378872339029394,2.7944931818181815,0.3671779415319455,1.8933333333333329,0.4265846159158066,2.1680952380952383,0.42524835108603565,2.3876190476190478,0.4273913016899266,2.7776190476190483,0.6785895488759416,2.8890476190476195,0.7726021223446495,2.944761904761905,0.64543686991507,3.006666666666667,0.570633593947055,50563742345.0186,0.1157731569756251,11725018303.5706,-0.5044113440576988,88.437943439718,0.3348281891698947,1.0,0.1788738752676494,0.4,-0.3197095023503956,-123.0951,44.0505
