,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('PROPERTY ZIP', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(3),Corr with auto_vol(3),student_vol(-4),Corr with student_vol(-4),credit_tightness(2),Corr with credit_tightness(2),mortgage 30-89(-4),Corr with mortgage 30-89(-4),mortgage 90(-3),Corr with mortgage 90(-3),long,lat
0,2011-01,WA,SEATTLE,2011-01,3.85,"(-122.324, 47.8104)",98112,8167.99,Improvements_Additions for Apartments_Coops,0.2391115000000001,0.128548307228075,0.25406500000000004,0.13269160905311916,0.2606254999999999,0.1317030812257999,0.2827834999999999,0.12042263964999415,0.30341049999999997,0.1108158074918261,0.4554005000000002,0.053348254608632316,0.7818229999999999,0.01587886576235991,0.14099999999999996,0.13449999163192913,0.1815,0.11716727323798705,0.27349999999999997,0.11010603105796524,1.9944999999999997,0.518431751479296,3.3940000000000006,0.6393666452016865,4.281000000000001,0.5325480612593942,4.5230000000000015,0.4758655851546745,31252070876.7547,-0.06397044285262034,12342273869.2704,-0.4972124675747712,91.59671843464591,-0.33805394408982525,2.4,-0.12057945883722526,4.0,-0.16104925005145554,-122.324,47.8104
1,2011-03,WA,SEATTLE,2011-03,4.45,"(-122.30681899999999, 47.617269)",98122,10921.52,Improvements_Additions for Apartments_Coops,0.2076739130434783,0.128548307228075,0.23889782608695653,0.13269160905311916,0.2532847826086956,0.1317030812257999,0.2829456521739131,0.12042263964999415,0.30843478260869567,0.1108158074918261,0.4607826086956522,0.053348254608632316,0.7797065217391305,0.01587886576235991,0.06478260869565221,0.13449999163192913,0.15652173913043482,0.11716727323798705,0.25913043478260867,0.11010603105796524,2.1134782608695653,0.518431751479296,3.414347826086956,0.6393666452016865,4.26608695652174,0.5325480612593942,4.5139130434782615,0.4758655851546745,31300541846.2612,-0.06397044285262034,11082139451.8714,-0.4972124675747712,91.13289228397959,-0.33805394408982525,2.5,-0.12057945883722526,4.1,-0.16104925005145554,-122.30681899999999,47.617269
2,2011-09,WA,SEATTLE,2011-09,4.12,"(-122.29530700000001, 47.571884000000004)",98144,63008.27,Improvements_Additions for Apartments_Coops,0.14525181818181823,0.128548307228075,0.1884,0.13269160905311916,0.23085045454545455,0.1317030812257999,0.2845913636363636,0.12042263964999415,0.3502268181818181,0.1108158074918261,0.5222018181818182,0.053348254608632316,0.8332045454545454,0.01587886576235991,0.005714285714285713,0.13449999163192913,0.04333333333333335,0.11716727323798705,0.10476190476190479,0.11010603105796524,0.9004761904761904,0.518431751479296,1.9752380952380955,0.6393666452016865,2.8271428571428574,0.5325480612593942,3.182380952380953,0.4758655851546745,35344521679.5642,-0.06397044285262034,13753511368.0623,-0.4972124675747712,90.35087768078328,-0.33805394408982525,2.2,-0.12057945883722526,4.1,-0.16104925005145554,-122.29530700000001,47.571884000000004
3,2011-10,WA,SEATTLE,2011-10,4.31,"(-122.359719, 47.621970000000005)",98119,42708.66,Improvements_Additions for Apartments_Coops,0.1416352380952381,0.128548307228075,0.19074095238095234,0.13269160905311916,0.24373904761904758,0.1317030812257999,0.3185252380952381,0.12042263964999415,0.4064785714285714,0.1108158074918261,0.59521,0.053348254608632316,0.9086428571428572,0.01587886576235991,0.013500000000000003,0.13449999163192913,0.05450000000000003,0.11716727323798705,0.1145,0.11010603105796524,1.0614999999999999,0.518431751479296,2.1519999999999997,0.6393666452016865,2.8695,0.5325480612593942,3.128,0.4758655851546745,35385458151.3724,-0.06397044285262034,12472473242.0863,-0.4972124675747712,90.48744874686929,-0.33805394408982525,2.1,-0.12057945883722526,4.2,-0.16104925005145554,-122.359719,47.621970000000005
4,2012-04,WA,SEATTLE,2012-04,3.52,"(-122.32156100000002, 47.709783)",98125,19864.6,Improvements_Additions for Apartments_Coops,0.14868421052631575,0.128548307228075,0.18980526315789473,0.13269160905311916,0.23982894736842097,0.1317030812257999,0.34777368421052635,0.12042263964999415,0.46680789473684203,0.1108158074918261,0.7313999999999999,0.053348254608632316,1.048621052631579,0.01587886576235991,0.0666666666666667,0.13449999163192913,0.13904761904761903,0.11716727323798705,0.18333333333333335,0.11010603105796524,0.8947619047619045,0.518431751479296,2.0528571428571425,0.6393666452016865,2.8166666666666664,0.5325480612593942,3.1842857142857137,0.4758655851546745,36601383816.48,-0.06397044285262034,11508699084.1195,-0.4972124675747712,89.56768058609659,-0.33805394408982525,2.3,-0.12057945883722526,4.6,-0.16104925005145554,-122.32156100000002,47.709783
5,2012-05,WA,SEATTLE,2012-05,2.98,"(-69.8048009, 44.087827000000004)",98118,56611.52,Improvements_Additions for Apartments_Coops,0.15161363636363637,0.128548307228075,0.19053181818181822,0.13269160905311916,0.23893181818181805,0.1317030812257999,0.3457045454545453,0.12042263964999415,0.4665318181818183,0.1108158074918261,0.732990909090909,0.053348254608632316,1.0615068181818177,0.01587886576235991,0.06590909090909093,0.13449999163192913,0.14545454545454548,0.11716727323798705,0.19181818181818186,0.11010603105796524,0.7618181818181818,0.518431751479296,1.8031818181818189,0.6393666452016865,2.525909090909091,0.5325480612593942,2.930909090909091,0.4758655851546745,37160101000.5239,-0.06397044285262034,11510278467.2037,-0.4972124675747712,89.02745876405929,-0.33805394408982525,2.4,-0.12057945883722526,4.7,-0.16104925005145554,-69.8048009,44.087827000000004
6,2012-08,WA,SEATTLE,2012-08,3.05,"(-122.284791, 47.539153999999996)",98118,16937.17,Improvements_Additions for Apartments_Coops,0.15374090909090915,0.128548307228075,0.18745454545454548,0.13269160905311916,0.23783863636363634,0.1317030812257999,0.3331136363636364,0.12042263964999415,0.43259999999999993,0.1108158074918261,0.7177749999999997,0.053348254608632316,1.0426272727272727,0.01587886576235991,0.09217391304347829,0.13449999163192913,0.14043478260869566,0.11716727323798705,0.18347826086956526,0.11010603105796524,0.7139130434782609,0.518431751479296,1.6782608695652175,0.6393666452016865,2.3978260869565218,0.5325480612593942,2.7708695652173914,0.4758655851546745,38410438812.4053,-0.06397044285262034,11641401212.0971,-0.4972124675747712,90.37816904639429,-0.33805394408982525,2.1,-0.12057945883722526,4.8,-0.16104925005145554,-122.284791,47.539153999999996
7,2012-11,WA,SEATTLE,2012-11,2.5,"(-122.37613300000001, 47.534565)",98126,22679.5,Improvements_Additions for Apartments_Coops,0.1555,0.128548307228075,0.18060909090909089,0.13269160905311916,0.20888636363636362,0.1317030812257999,0.25813636363636355,0.12042263964999415,0.31102272727272723,0.1108158074918261,0.528347727272727,0.053348254608632316,0.8631931818181818,0.01587886576235991,0.12449999999999999,0.13449999163192913,0.14450000000000002,0.11716727323798705,0.17850000000000002,0.11010603105796524,0.665,0.518431751479296,1.654,0.6393666452016865,2.3894999999999995,0.5325480612593942,2.8034999999999997,0.4758655851546745,39658399389.4891,-0.06397044285262034,16111780903.4699,-0.4972124675747712,91.578064558499,-0.33805394408982525,2.1,-0.12057945883722526,4.4,-0.16104925005145554,-122.37613300000001,47.534565
8,2013-05,WA,SEATTLE,2013-05,3.38,"(-122.29748500000001, 47.718336)",98125,34541.29,Improvements_Additions for Apartments_Coops,0.1435047619047619,0.128548307228075,0.1638380952380952,0.13269160905311916,0.19670952380952378,0.1317030812257999,0.23396000000000003,0.12042263964999415,0.27416904761904765,0.1108158074918261,0.42137333333333327,0.053348254608632316,0.6936104761904763,0.01587886576235991,0.020454545454545458,0.13449999163192913,0.08090909090909093,0.11716727323798705,0.11863636363636366,0.11010603105796524,0.840909090909091,0.518431751479296,1.9281818181818182,0.6393666452016865,2.7286363636363635,0.5325480612593942,3.112727272727273,0.4758655851546745,41334062733.8549,-0.06397044285262034,11154944519.578999,-0.4972124675747712,90.32258801944451,-0.33805394408982525,2.0,-0.12057945883722526,3.7,-0.16104925005145554,-122.29748500000001,47.718336
9,2013-06,WA,SEATTLE,2013-06,3.5,"(-75.457503, 44.710104)",98109,87550.36,Improvements_Additions for Apartments_Coops,0.13074,0.128548307228075,0.15964599999999998,0.13269160905311916,0.19319250000000002,0.1317030812257999,0.23164600000000002,0.12042263964999415,0.27374,0.1108158074918261,0.4139935,0.053348254608632316,0.6839425000000002,0.01587886576235991,0.0345,0.13449999163192913,0.08750000000000002,0.11716727323798705,0.142,0.11010603105796524,1.2035,0.518431751479296,2.3000000000000003,0.6393666452016865,3.0740000000000003,0.5325480612593942,3.400000000000001,0.4758655851546745,41062625933.5941,-0.06397044285262034,11080080767.5225,-0.4972124675747712,88.1059676388142,-0.33805394408982525,1.9,-0.12057945883722526,3.6,-0.16104925005145554,-75.457503,44.710104
10,2014-01,WA,SEATTLE,2014-01,4.35,"(-122.34478100000001, 47.611308)",98121,37872.98,Improvements_Additions for Apartments_Coops,0.09003181818181817,0.128548307228075,0.1219931818181818,0.13269160905311916,0.1597090909090909,0.1317030812257999,0.204425,0.12042263964999415,0.23822954545454544,0.1108158074918261,0.33795909090909093,0.053348254608632316,0.5752999999999999,0.01587886576235991,0.017142857142857144,0.13449999163192913,0.0690476190476191,0.11716727323798705,0.11619047619047623,0.11010603105796524,1.6466666666666665,0.518431751479296,2.858095238095238,0.6393666452016865,3.521904761904762,0.5325480612593942,3.76904761904762,0.4758655851546745,44109559396.2995,-0.06397044285262034,10216278752.7557,-0.4972124675747712,80.910251046009,-0.33805394408982525,1.5,-0.12057945883722526,2.6,-0.16104925005145554,-122.34478100000001,47.611308
11,2014-02,WA,SEATTLE,2014-02,4.85,"(-122.317195, 47.601853000000006)",98112,105719.66,Improvements_Additions for Apartments_Coops,0.08627,0.128548307228075,0.11939250000000004,0.13269160905311916,0.155105,0.1317030812257999,0.19663749999999997,0.12042263964999415,0.23520249999999998,0.1108158074918261,0.3308,0.053348254608632316,0.554605,0.01587886576235991,0.046842105263157914,0.13449999163192913,0.08105263157894738,0.11716727323798705,0.11684210526315793,0.11010603105796524,1.5157894736842106,0.518431751479296,2.7094736842105265,0.6393666452016865,3.3847368421052626,0.5325480612593942,3.6626315789473685,0.4758655851546745,44462292713.4678,-0.06397044285262034,9473893018.88319,-0.4972124675747712,82.56600445924391,-0.33805394408982525,1.4,-0.12057945883722526,2.5,-0.16104925005145554,-122.317195,47.601853000000006
12,2014-03,WA,SEATTLE,2014-03,4.17,"(-122.28451100000001, 47.666028000000004)",98105,36447.935,Improvements_Additions for Apartments_Coops,0.0888,0.128548307228075,0.1207452380952381,0.13269160905311916,0.15488333333333335,0.1317030812257999,0.19711666666666672,0.12042263964999415,0.23409761904761903,0.1108158074918261,0.33106666666666673,0.053348254608632316,0.5571428571428573,0.01587886576235991,0.051428571428571455,0.13449999163192913,0.07857142857142858,0.11716727323798705,0.1280952380952381,0.11010603105796524,1.6395238095238096,0.518431751479296,2.7233333333333327,0.6393666452016865,3.3466666666666667,0.5325480612593942,3.6209523809523807,0.4758655851546745,43938467193.2505,-0.06397044285262034,10396023519.0372,-0.4972124675747712,82.11515832772571,-0.33805394408982525,1.3,-0.12057945883722526,2.5,-0.16104925005145554,-122.28451100000001,47.666028000000004
13,2014-05,WA,SEATTLE,2014-05,3.95,"(-122.333752, 47.602645)",98104,23579.68,Improvements_Additions for Apartments_Coops,0.08842000000000001,0.128548307228075,0.1198375,0.13269160905311916,0.15035749999999998,0.1317030812257999,0.1914675,0.12042263964999415,0.22609000000000004,0.1108158074918261,0.3231200000000001,0.053348254608632316,0.537955,0.01587886576235991,0.026666666666666665,0.13449999163192913,0.05190476190476192,0.11716727323798705,0.0966666666666667,0.11010603105796524,1.5928571428571427,0.518431751479296,2.559047619047619,0.6393666452016865,3.1152380952380954,0.5325480612593942,3.3899999999999997,0.4758655851546745,45277214883.1472,-0.06397044285262034,9438159522.248821,-0.4972124675747712,81.64661519553,-0.33805394408982525,1.5,-0.12057945883722526,2.4,-0.16104925005145554,-122.333752,47.602645
14,2015-01,WA,SEATTLE,2015-01,4.14,"(-122.327426, 47.59835)",98108,124235.08,Improvements_Additions for Apartments_Coops,0.11871428571428574,0.128548307228075,0.1349785714285714,0.13269160905311916,0.16807857142857144,0.1317030812257999,0.2135952380952381,0.12042263964999415,0.2543190476190476,0.1108158074918261,0.35825714285714294,0.053348254608632316,0.6221666666666666,0.01587886576235991,0.018000000000000006,0.13449999163192913,0.08300000000000003,0.11716727323798705,0.19549999999999998,0.11010603105796524,1.3744999999999998,0.518431751479296,1.8814999999999997,0.6393666452016865,2.199,0.5325480612593942,2.455,0.4758655851546745,47036055605.935,-0.06397044285262034,11159124696.1814,-0.4972124675747712,82.23381292700279,-0.33805394408982525,1.2,-0.12057945883722526,1.8,-0.16104925005145554,-122.327426,47.59835
15,2015-03,WA,SEATTLE,2015-03,3.66,"(-122.3301, 47.6038)",98122,28552.5825,Improvements_Additions for Apartments_Coops,0.12134999999999999,0.128548307228075,0.14022954545454547,0.13269160905311916,0.17560000000000003,0.1317030812257999,0.21958181818181813,0.12042263964999415,0.26829772727272727,0.1108158074918261,0.39945,0.053348254608632316,0.700025,0.01587886576235991,0.02272727272727273,0.13449999163192913,0.11000000000000001,0.11716727323798705,0.25363636363636366,0.11010603105796524,1.5190909090909088,0.518431751479296,2.042727272727273,0.6393666452016865,2.4068181818181817,0.5325480612593942,2.626363636363636,0.4758655851546745,48997735451.5931,-0.06397044285262034,11357071284.6333,-0.4972124675747712,83.34061286074021,-0.33805394408982525,1.1,-0.12057945883722526,1.7,-0.16104925005145554,-122.3301,47.6038
16,2015-04,WA,SEATTLE,2015-04,3.27,"(-122.28, 47.54)",98118,47178.955,Improvements_Additions for Apartments_Coops,0.12200000000000003,0.128548307228075,0.14605250000000003,0.13269160905311916,0.18076750000000003,0.1317030812257999,0.22830999999999996,0.12042263964999415,0.27596,0.1108158074918261,0.404505,0.053348254608632316,0.6969449999999999,0.01587886576235991,0.018181818181818188,0.13449999163192913,0.09363636363636368,0.11716727323798705,0.23363636363636367,0.11010603105796524,1.3545454545454545,0.518431751479296,1.9349999999999996,0.6393666452016865,2.334090909090909,0.5325480612593942,2.5859090909090905,0.4758655851546745,48668534366.8701,-0.06397044285262034,14245911418.8887,-0.4972124675747712,82.75451956383341,-0.33805394408982525,1.3,-0.12057945883722526,1.7,-0.16104925005145554,-122.28,47.54
17,2015-06,WA,SEATTLE,2015-06,3.3449999999999998,"(-122.31766699999999, 47.716236)",98125,48626.01,Improvements_Additions for Apartments_Coops,0.12293636363636364,0.128548307228075,0.14681590909090908,0.13269160905311916,0.1858840909090909,0.1317030812257999,0.23472954545454539,0.12042263964999415,0.2827113636363637,0.1108158074918261,0.43974545454545466,0.053348254608632316,0.7702659090909093,0.01587886576235991,0.007727272727272728,0.13449999163192913,0.08681818181818185,0.11716727323798705,0.2754545454545455,0.11010603105796524,1.6836363636363636,0.518431751479296,2.3636363636363638,0.6393666452016865,2.8454545454545452,0.5325480612593942,3.1118181818181814,0.4758655851546745,49379202635.7798,-0.06397044285262034,11837215038.8922,-0.4972124675747712,82.89218119322959,-0.33805394408982525,1.1,-0.12057945883722526,1.5,-0.16104925005145554,-122.31766699999999,47.716236
18,2015-07,WA,SEATTLE,2015-07,3.86,"(-122.324859, 47.633718)",98102,62463.46,Improvements_Additions for Apartments_Coops,0.1263,0.128548307228075,0.1488782608695652,0.13269160905311916,0.1881586956521739,0.1317030812257999,0.23940652173913043,0.12042263964999415,0.29066956521739135,0.1108158074918261,0.46192391304347824,0.053348254608632316,0.7858413043478262,0.01587886576235991,0.030000000000000002,0.13449999163192913,0.11636363636363636,0.11716727323798705,0.2968181818181819,0.11010603105796524,1.632272727272727,0.518431751479296,2.3245454545454547,0.6393666452016865,2.7663636363636357,0.5325480612593942,3.066363636363636,0.4758655851546745,48752987466.2114,-0.06397044285262034,12019442988.8631,-0.4972124675747712,81.36742750908279,-0.33805394408982525,1.0,-0.12057945883722526,1.5,-0.16104925005145554,-122.324859,47.633718
19,2015-10,WA,SEATTLE,2015-10,3.725,"(-122.288743, 47.569976000000004)",98144,38194.244999999995,Improvements_Additions for Apartments_Coops,0.13160454545454547,0.128548307228075,0.15531363636363638,0.13269160905311916,0.19451136363636365,0.1317030812257999,0.2514522727272726,0.12042263964999415,0.32135909090909087,0.1108158074918261,0.5284272727272726,0.053348254608632316,0.8378659090909092,0.01587886576235991,0.014285714285714287,0.13449999163192913,0.11380952380952382,0.11716727323798705,0.26333333333333336,0.11010603105796524,1.3857142857142857,0.518431751479296,2.0699999999999994,0.6393666452016865,2.5028571428571427,0.5325480612593942,2.8880952380952376,0.4758655851546745,48154770296.6926,-0.06397044285262034,11517159733.1957,-0.4972124675747712,82.3313446344394,-0.33805394408982525,1.1,-0.12057945883722526,1.3,-0.16104925005145554,-122.288743,47.569976000000004
20,2016-03,WA,SEATTLE,2016-03,3.75,"(-122.30133899999998, 47.676038)",98115,26569.48,Improvements_Additions for Apartments_Coops,0.3739333333333333,0.128548307228075,0.39734047619047613,0.13269160905311916,0.43639523809523806,0.1317030812257999,0.5204357142857143,0.12042263964999415,0.632,0.1108158074918261,0.9009761904761905,0.053348254608632316,1.2156690476190475,0.01587886576235991,0.2531818181818182,0.13449999163192913,0.47,0.11716727323798705,0.6563636363636364,0.11010603105796524,1.3759090909090912,0.518431751479296,1.889090909090909,0.6393666452016865,2.2759090909090913,0.5325480612593942,2.6845454545454546,0.4758655851546745,49206523977.8161,-0.06397044285262034,10798655053.3939,-0.4972124675747712,85.2359522201137,-0.33805394408982525,0.9,-0.12057945883722526,1.1,-0.16104925005145554,-122.30133899999998,47.676038
21,2017-09,WA,SEATTLE,2017-09,3.75,"(-93.555599, 41.358246)",98119,146812.58,Improvements_Additions for Apartments_Coops,1.1784444999999997,0.128548307228075,1.1967471428571432,0.13269160905311916,1.23492,0.1317030812257999,1.2721638095238097,0.12042263964999415,1.3232957142857147,0.1108158074918261,1.4732157142857143,0.053348254608632316,1.738246666666667,0.01587886576235991,0.9940000000000001,0.13449999163192913,1.171,0.11716727323798705,1.2799999999999998,0.11010603105796524,1.7975,0.518431751479296,2.2020000000000004,0.6393666452016865,2.5300000000000002,0.5325480612593942,2.7764999999999995,0.4758655851546745,50617906919.2487,-0.06397044285262034,12747516848.3499,-0.4972124675747712,87.3618752869242,-0.33805394408982525,0.9,-0.12057945883722526,0.6,-0.16104925005145554,-93.555599,41.358246
22,2017-11,WA,SEATTLE,2017-11,3.45,"(-122.387924, 47.684517)",98117,33967.9,Improvements_Additions for Apartments_Coops,1.183300476190476,0.128548307228075,1.2036563636363637,0.13269160905311916,1.2878790909090911,0.1317030812257999,1.3757831818181818,0.12042263964999415,1.4342040909090912,0.1108158074918261,1.6264599999999996,0.053348254608632316,1.9015695454545458,0.01587886576235991,1.09,0.13449999163192913,1.3895238095238096,0.11716727323798705,1.5600000000000003,0.11010603105796524,2.05,0.518431751479296,2.353333333333333,0.6393666452016865,2.6023809523809525,0.5325480612593942,2.801904761904762,0.4758655851546745,49574400061.0285,-0.06397044285262034,11814606928.6527,-0.4972124675747712,88.1148323663994,-0.33805394408982525,1.0,-0.12057945883722526,0.6,-0.16104925005145554,-122.387924,47.684517
23,2017-12,WA,SEATTLE,2017-12,3.716666666666667,"(-122.32540790000002, 47.567167)",98104,142711.98333333334,Improvements_Additions for Apartments_Coops,1.3144094736842107,0.128548307228075,1.3913115789473685,0.13269160905311916,1.4850410526315792,0.1317030812257999,1.5354463157894738,0.12042263964999415,1.6017521052631578,0.1108158074918261,1.7680373684210524,0.053348254608632316,2.0434931578947366,0.01587886576235991,1.204,0.13449999163192913,1.4950000000000003,0.11716727323798705,1.7005,0.11010603105796524,2.1819999999999995,0.518431751479296,2.4025,0.6393666452016865,2.5970000000000004,0.5325480612593942,2.768,0.4758655851546745,50828048870.0026,-0.06397044285262034,12103218541.1776,-0.4972124675747712,87.010875232225,-0.33805394408982525,1.0,-0.12057945883722526,0.5,-0.16104925005145554,-122.32540790000002,47.567167
