,Month,"('PROPERTY STATE', '')","('PROPERTY CITY', '')","('Month', '')","('INTEREST RATE', 'mean')","('coor', 'first')","('CURRENT PRINCIPAL AND INTEREST', 'mean')","('Category', '')",ON,Corr with ON,1W,Corr with 1W,1M,Corr with 1M,2M,Corr with 2M,3M,Corr with 3M,6M,Corr with 6M,12M,Corr with 12M,1 Mo,Corr with 1 Mo,6 Mo,Corr with 6 Mo,1 Yr,Corr with 1 Yr,5 Yr,Corr with 5 Yr,10 Yr,Corr with 10 Yr,20 Yr,Corr with 20 Yr,30 Yr,Corr with 30 Yr,auto_vol(-4),Corr with auto_vol(-4),student_vol(-1),Corr with student_vol(-1),credit_tightness(4),Corr with credit_tightness(4),mortgage 30-89(4),Corr with mortgage 30-89(4),mortgage 90,Corr with mortgage 90,long,lat
0,2010-12,NC,DURHAM,2010-12,3.82,"(-78.948541, 36.00737)",12663.3,Refinancing of Apt,0.24122190476190472,-0.030091864858109288,0.25412380952380953,-0.02156426221523292,0.26178857142857137,-0.016438572705368408,0.28196571428571415,-0.031678225648132566,0.30272333333333334,-0.05190536888276361,0.4583942857142857,-0.11639790732703943,0.7839004761904763,-0.1435802869534842,0.0854166666666667,0.012481478517758476,0.19333333333333338,0.016118575344946116,0.2937499999999999,0.024314422177352173,1.9429166666666664,0.42396270327525754,3.2949999999999995,0.45271089558945943,4.173333333333333,0.31442242879612586,4.415,0.27427329698710207,29160609360.1217,0.12779666177030785,11082139451.8714,-0.3160831371866644,92.5881563190625,-0.6860684180172724,3.2,-0.3372521373047979,3.1,-0.12874480950498107,-78.948541,36.00737
1,2012-07,NC,DURHAM,2012-07,2.45,"(-78.994539, 35.989979999999996)",24304.21,Refinancing of Apt,0.16720454545454547,-0.030091864858109288,0.19873636363636368,-0.02156426221523292,0.24646136363636365,-0.016438572705368408,0.34024999999999994,-0.031678225648132566,0.4535545454545455,-0.05190536888276361,0.7302181818181818,-0.11639790732703943,1.0653181818181816,-0.1435802869534842,0.06952380952380956,0.012481478517758476,0.14571428571428574,0.016118575344946116,0.18571428571428572,0.024314422177352173,0.6195238095238095,0.42396270327525754,1.5266666666666664,0.45271089558945943,2.217142857142857,0.31442242879612586,2.5900000000000003,0.27427329698710207,35767585536.868996,0.12779666177030785,14585937143.4485,-0.3160831371866644,90.2956809830492,-0.6860684180172724,3.4,-0.3372521373047979,3.1,-0.12874480950498107,-78.994539,35.989979999999996
2,2013-04,NC,DURHAM,2013-04,3.37,"(-78.91599599999999, 36.0069454)",207354.41,Refinancing of Apt,0.1539047619047619,-0.030091864858109288,0.17210476190476193,-0.02156426221523292,0.19953333333333334,-0.016438572705368408,0.24005714285714277,-0.031678225648132566,0.27714285714285714,-0.05190536888276361,0.4360190476190476,-0.11639790732703943,0.7168333333333334,-0.1435802869534842,0.049090909090909116,0.012481478517758476,0.09409090909090913,0.016118575344946116,0.12454545454545456,0.024314422177352173,0.7104545454545454,0.42396270327525754,1.7590909090909093,0.45271089558945943,2.5500000000000003,0.31442242879612586,2.9327272727272726,0.27427329698710207,38808856509.5085,0.12779666177030785,9855625468.0504,-0.3160831371866644,88.1059676388142,-0.6860684180172724,3.4,-0.3372521373047979,2.3,-0.12874480950498107,-78.91599599999999,36.0069454
3,2013-07,NC,DURHAM,2013-07,3.25,"(-78.893121, 35.989385)",10637.27,Refinancing of Apt,0.12117913043478262,-0.030091864858109288,0.15611695652173913,-0.02156426221523292,0.19111913043478265,-0.016438572705368408,0.232388695652174,-0.031678225648132566,0.26758260869565215,-0.05190536888276361,0.40307869565217386,-0.11639790732703943,0.6838491304347826,-0.1435802869534842,0.020909090909090912,0.012481478517758476,0.07363636363636367,0.016118575344946116,0.12181818181818184,0.024314422177352173,1.4031818181818183,0.42396270327525754,2.5822727272727275,0.45271089558945943,3.3072727272727276,0.31442242879612586,3.605,0.27427329698710207,39298206327.5877,0.12779666177030785,9260696074.4491,-0.3160831371866644,88.4263020205016,-0.6860684180172724,3.3,-0.3372521373047979,2.4,-0.12874480950498107,-78.893121,35.989385
4,2013-10,NC,DURHAM,2013-10,4.12,"(-78.86845, 36.005396000000005)",19672.43,Refinancing of Apt,0.10426086956521738,-0.030091864858109288,0.13668260869565219,-0.02156426221523292,0.17241521739130433,-0.016438572705368408,0.21265,-0.031678225648132566,0.2417652173913043,-0.05190536888276361,0.36121521739130424,-0.11639790732703943,0.6177847826086957,-0.1435802869534842,0.1059090909090909,0.012481478517758476,0.07590909090909094,0.016118575344946116,0.12136363636363635,0.024314422177352173,1.366818181818182,0.42396270327525754,2.615909090909091,0.45271089558945943,3.3795454545454544,0.31442242879612586,3.6759090909090903,0.27427329698710207,41507587847.7023,0.12779666177030785,10216278752.7557,-0.3160831371866644,83.69462947740479,-0.6860684180172724,3.1,-0.3372521373047979,1.9,-0.12874480950498107,-78.86845,36.005396000000005
5,2014-12,NC,DURHAM,2014-12,4.94,"(-78.9392, 36.0125)",7956.89,Refinancing of Apt,0.1101,-0.030091864858109288,0.1330809523809524,-0.02156426221523292,0.16305,-0.016438572705368408,0.20744285714285715,-0.031678225648132566,0.2446071428571429,-0.05190536888276361,0.34302142857142864,-0.11639790732703943,0.6021190476190476,-0.1435802869534842,0.02500000000000001,0.012481478517758476,0.1063636363636364,0.016118575344946116,0.21454545454545454,0.024314422177352173,1.64,0.42396270327525754,2.2072727272727275,0.45271089558945943,2.5504545454545453,0.31442242879612586,2.8331818181818185,0.27427329698710207,45277214883.1472,0.12779666177030785,11357071284.6333,-0.3160831371866644,79.25862065623551,-0.6860684180172724,1.8,-0.3372521373047979,2.1,-0.12874480950498107,-78.9392,36.0125
6,2015-10,NC,DURHAM,2015-10,3.52,"(-78.932201, 35.917666)",71860.69,Refinancing of Apt,0.13160454545454547,-0.030091864858109288,0.15531363636363638,-0.02156426221523292,0.19451136363636365,-0.016438572705368408,0.2514522727272726,-0.031678225648132566,0.32135909090909087,-0.05190536888276361,0.5284272727272726,-0.11639790732703943,0.8378659090909092,-0.1435802869534842,0.014285714285714287,0.012481478517758476,0.11380952380952382,0.016118575344946116,0.26333333333333336,0.024314422177352173,1.3857142857142857,0.42396270327525754,2.0699999999999994,0.45271089558945943,2.5028571428571427,0.31442242879612586,2.8880952380952376,0.27427329698710207,48997735451.5931,0.12779666177030785,11492007418.0579,-0.3160831371866644,85.06205357591242,-0.6860684180172724,2.1,-0.3372521373047979,1.8,-0.12874480950498107,-78.932201,35.917666
7,2015-12,NC,DURHAM,2015-12,4.24,"(-78.902792, 35.982141999999996)",12543.23,Refinancing of Apt,0.2286238095238095,-0.030091864858109288,0.289352380952381,-0.02156426221523292,0.3523071428571429,-0.016438572705368408,0.44092857142857156,-0.031678225648132566,0.5332357142857143,-0.05190536888276361,0.7638285714285715,-0.11639790732703943,1.0841380952380955,-0.1435802869534842,0.17181818181818184,0.012481478517758476,0.4990909090909091,0.016118575344946116,0.6536363636363638,0.024314422177352173,1.6986363636363635,0.42396270327525754,2.2427272727272736,0.45271089558945943,2.6072727272727274,0.31442242879612586,2.97,0.27427329698710207,48836554747.323,0.12779666177030785,10798655053.3939,-0.3160831371866644,84.0267577476249,-0.6860684180172724,1.9,-0.3372521373047979,1.6,-0.12874480950498107,-78.902792,35.982141999999996
8,2016-03,NC,DURHAM,2016-03,3.49,"(-78.813227, 35.929512)",21791.16,Refinancing of Apt,0.3739333333333333,-0.030091864858109288,0.39734047619047613,-0.02156426221523292,0.43639523809523806,-0.016438572705368408,0.5204357142857143,-0.031678225648132566,0.632,-0.05190536888276361,0.9009761904761905,-0.11639790732703943,1.2156690476190475,-0.1435802869534842,0.2531818181818182,0.012481478517758476,0.47,0.016118575344946116,0.6563636363636364,0.024314422177352173,1.3759090909090912,0.42396270327525754,1.889090909090909,0.45271089558945943,2.2759090909090913,0.31442242879612586,2.6845454545454546,0.27427329698710207,48491901272.6637,0.12779666177030785,11240513229.2606,-0.3160831371866644,87.39008859346599,-0.6860684180172724,2.0,-0.3372521373047979,1.4,-0.12874480950498107,-78.813227,35.929512
9,2016-05,NC,DURHAM,2016-05,2.5,"(-70.91218713, 43.08505158)",65625.87,Refinancing of Apt,0.38527368421052627,-0.030091864858109288,0.4053315789473685,-0.02156426221523292,0.4424947368421052,-0.016438572705368408,0.5332263157894737,-0.031678225648132566,0.6455710526315791,-0.05190536888276361,0.9348736842105263,-0.11639790732703943,1.2675078947368421,-0.1435802869534842,0.2261904761904762,0.012481478517758476,0.4185714285714286,0.016118575344946116,0.5914285714285713,0.024314422177352173,1.3004761904761903,0.42396270327525754,1.8061904761904766,0.45271089558945943,2.2166666666666663,0.31442242879612586,2.627619047619048,0.27427329698710207,48154770296.6926,0.12779666177030785,10916249757.9916,-0.3160831371866644,88.3913281030881,-0.6860684180172724,2.0,-0.3372521373047979,1.4,-0.12874480950498107,-70.91218713,43.08505158
10,2017-10,NC,DURHAM,2017-10,3.25,"(-78.860176, 36.098876000000004)",35714.86,Refinancing of Apt,1.1834895238095235,-0.030091864858109288,1.2040609090909093,-0.02156426221523292,1.2385486363636362,-0.016438572705368408,1.287584090909091,-0.031678225648132566,1.3607931818181818,-0.05190536888276361,1.541957272727273,-0.11639790732703943,1.8208568181818179,-0.1435802869534842,0.9957142857142858,0.012481478517758476,1.2495238095238093,0.016118575344946116,1.3976190476190478,0.024314422177352173,1.9809523809523806,0.42396270327525754,2.3600000000000003,0.45271089558945943,2.649047619047619,0.31442242879612586,2.8780952380952383,0.27427329698710207,49068548953.9206,0.12779666177030785,11813706431.8634,-0.3160831371866644,87.010875232225,-0.6860684180172724,2.2,-0.3372521373047979,1.1,-0.12874480950498107,-78.860176,36.098876000000004
11,2017-12,NC,DURHAM,2017-12,3.8600000000000003,"(-78.954578, 36.006958000000004)",24892.379999999997,Refinancing of Apt,1.3144094736842107,-0.030091864858109288,1.3913115789473685,-0.02156426221523292,1.4850410526315792,-0.016438572705368408,1.5354463157894738,-0.031678225648132566,1.6017521052631578,-0.05190536888276361,1.7680373684210524,-0.11639790732703943,2.0434931578947366,-0.1435802869534842,1.204,0.012481478517758476,1.4950000000000003,0.016118575344946116,1.7005,0.024314422177352173,2.1819999999999995,0.42396270327525754,2.4025,0.45271089558945943,2.5970000000000004,0.31442242879612586,2.768,0.27427329698710207,47520522623.6854,0.12779666177030785,11707722927.962,-0.3160831371866644,88.437943439718,-0.6860684180172724,1.8,-0.3372521373047979,0.9,-0.12874480950498107,-78.954578,36.006958000000004
12,2018-04,NC,DURHAM,2018-04,3.6799999999999997,"(-78.9002, 35.935959999999994)",35654.805,Refinancing of Apt,1.7027510000000003,-0.030091864858109288,1.7432829999999995,-0.02156426221523292,1.896724,-0.016438572705368408,2.0408605,-0.031678225648132566,2.349426,-0.05190536888276361,2.493657999999999,-0.11639790732703943,2.7355454999999997,-0.1435802869534842,1.6604761904761904,0.012481478517758476,1.9780952380952381,0.016118575344946116,2.153809523809524,0.024314422177352173,2.701904761904762,0.42396270327525754,2.869047619047619,0.45271089558945943,2.9595238095238092,0.31442242879612586,3.0719047619047624,0.27427329698710207,50617906919.2487,0.12779666177030785,11725018303.5706,-0.3160831371866644,85.8866598662335,-0.6860684180172724,1.7,-0.3372521373047979,0.7,-0.12874480950498107,-78.9002,35.935959999999994
